"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:36:40,FALSE,NA,"478682601620660225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iujock1974",9,TRUE,FALSE,NA,NA
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:35:42,FALSE,NA,"478682358246539264",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","WBillotte",9,TRUE,FALSE,NA,NA
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:35:40,FALSE,NA,"478682350738358272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maytha_maytha",9,TRUE,FALSE,NA,NA
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:35:36,FALSE,NA,"478682332145012736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dillpill0217",9,TRUE,FALSE,NA,NA
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:35:33,FALSE,NA,"478682320593899520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Typhonicstat",9,TRUE,FALSE,NA,NA
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:34:41,FALSE,NA,"478682102800453632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","parahunger",9,TRUE,FALSE,NA,NA
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:34:35,FALSE,NA,"478682078267977728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MsYPalfrey",9,TRUE,FALSE,NA,NA
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:34:32,FALSE,NA,"478682064347492352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GavinWJYoung",9,TRUE,FALSE,NA,NA
"RT @DNews: This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,0,NA,2014-06-16 23:34:07,FALSE,NA,"478681960844627969",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CitizenLee37",9,TRUE,FALSE,NA,NA
"This cute baby sloth can't stop yawning: http://t.co/UXcfz1HD2h #SlothWeek via @Animalists http://t.co/x7OlAKXxOZ",FALSE,8,NA,2014-06-16 23:33:56,FALSE,NA,"478681915851939840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DNews",9,FALSE,FALSE,NA,NA
